day,time,course_name,semester
Kamis,16:30 - 18:20,Topik Dalam Penjaminan Kualitas Perangkat Lunak - P,1
Kamis,18:30 - 20:20,Rekayasa Perangkat Lunak - P,1
Jumat,09:00 - 10:50,Konstruksi Perangkat Lunak - RPL (M),4
Jumat,09:00 - 10:50,Metodologi Penelitian - B,2
Jumat,09:00 - 10:50,Rekayasa Kebutuhan - RPL (M),2
Jumat,09:00 - 10:50,TD Visi Komputer-A,1
Jumat,13:30 - 15:20,Etika Profesi - REG - IUP,7
Jumat,13:30 - 15:20,Pengantar Pengembangan Game - Z (Pengayaan),7
Jumat,13:30 - 15:20,Pengantar Teknologi Basis Data - Z (Pengayaan),5
Jumat,18:30 - 20:20,Matrikulasi-Pemrograman Python - P,1
Jumat,18:30 - 20:20,Metodologi Penelitian - P,2
Jumat,18:30 - 20:20,Metodologi Penelitian - Q,2
